factor,2014/1/31,2014/2/28,2014/3/31,2014/4/30,2014/5/31,2014/6/30,2014/7/31,2014/8/31,2014/9/30,2014/10/31,2014/11/30,2014/12/31,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31
HSI,0.458722899,0.83188574,0.767282829,0.613560679,0.93763419,0.911146909,0.898105024,0.724166624,0.788577473,0.878106097,0.910118323,0.878864058,0.71871147,0.886216766,0.235820573,0.625748143,0.866879574,0.849861654,0.882900409,0.933382919,0.431513559,0.762566917,0.529468415,0.859478464,0.859020098,0.099444092,0.884323555,0.745723289,0.842644625,0.883617238,0.769178473,0.870623736,0.400486953,0.752224693,0.341545774,0.50224276,0.767763923,0.751822683,0.772753264,0.815078255,0.883069914,0.802308059,0.873917127,0.815371054,0.486044342,0.869035363,0.864987907,0.855311693
size,0.403998608,0.046526222,-0.02304894,-0.033393731,0.004502519,-0.000397713,-0.004716282,-0.002172936,-0.035634022,0.02927319,0.006371947,0.004364091,0.001014503,0.025347928,0.032601968,-0.075426403,-0.004548349,-0.005813161,0.02767547,0.000419054,0.254320766,0.004828096,0.166628447,-0.002913641,-0.004143361,0.12825447,0.003736374,-0.004202332,0.009771719,0.000231402,0.003596492,-0.000666182,0.154539352,0.009621342,-0.077827029,0.098804601,-0.001516163,0.001321969,0.001794655,0.010856002,-0.004335279,0.005049184,0.009159619,0.01172273,0.130527292,0.002912425,0.006961188,-0.008449738
volatility,-0.031255885,0.009528026,-0.00291242,0.002539965,-0.002019085,-0.000144125,0.014866461,0.00990864,0.031464239,-0.031189325,-0.002826951,-0.008199529,0.005267738,0.003011916,-0.074006532,0.026691947,0.008952769,0.000218493,-0.021726187,-2.48E-06,-0.109583189,0.013450411,0.064721191,-0.005187127,-0.003516251,-0.13746299,0.012156069,-0.007289098,0.011612989,0.01185514,0.020688163,0.00560595,-0.070166386,0.007581535,-0.008785549,-0.076790621,0.025368782,0.005405433,0.009780779,0.019451073,-0.002258663,0.060425129,0.01106729,0.011314062,-0.088295932,-0.000176112,-0.004497291,-0.000277458
finance,-0.193903026,-0.027745371,0.07396712,0.002080631,0.000668343,0.000763042,0.028487742,0.087290611,0.012515601,0.015262909,0.018004411,-0.003740169,-0.028714385,-0.003743125,0.00945047,0.04369596,-0.004579363,-0.006611204,0.003807852,0.001788807,0.184157184,0.001281872,0.056639276,-0.006756341,0.000405492,0.454593085,-0.006543342,0.01619668,0.007976221,-0.003107905,-0.027478797,-0.010074517,0.133468046,0.00580735,-0.0687033,0.047140077,-0.003228203,-0.001809996,0.002777649,-0.009772275,0.018696255,-0.004024118,0.000663613,-0.004844968,-0.094288313,0.001641432,-0.004485902,0.008420105
value,-0.03671533,0.009803746,0.071673204,0.077672666,-0.002734499,0.001017231,-0.006212414,0.00888609,0.041237694,-0.016527599,-0.007166921,0.017556399,0.049795521,-0.00055431,0.114837721,0.057402743,0.063469636,0.073623328,-0.024372607,0.005803209,-0.021100621,-0.004895565,-0.076277323,0.010828769,0.030517473,-0.149725506,0.000998034,0.084231077,-0.001747154,-1.38E-05,-0.009576653,0.013640203,-0.031430838,-0.001382024,-0.028249843,0.093384244,-0.010819245,0.005879364,0.023232487,-0.007620317,-0.011407992,0.021003667,-4.73E-06,0.005086428,0.186418502,0.003357888,0.00750078,-0.006962465
quality,0.167199374,-0.01969342,-0.022228316,0.044717451,-0.006173446,-0.001028296,-0.022009291,-0.043433696,0.034645425,-0.019423539,-0.014663031,0.014591693,0.046381028,-0.004796964,0.123616431,0.105484686,-0.003807003,-0.004988155,0.030354391,0.005814363,-0.005964997,0.010318119,-0.043276992,0.015849485,0.006832939,0.097465525,-0.00096388,0.00507758,-0.002565994,0.009110891,0.045509456,0.001092761,-0.074486089,0.007314559,0.07799054,0.030073273,0.00665357,0.013808148,-0.000251725,0.023625867,-0.011200283,0.000862681,-0.001907384,0.000186461,0.008620134,-0.001842439,-0.005593467,0.006183795
momentum_long,-0.091880138,0.001392975,-0.01594983,0.004404493,0.001142725,-0.001366823,0.025433004,-0.007291751,-0.019387186,0.007698043,0.004890809,0.022978395,-0.025923315,-0.000426053,-0.075720605,0.034347683,-0.008243654,-0.018355908,0.034007001,0.000527718,0.093246727,0.01141632,0.309414535,-0.016517863,-0.00485354,0.004463912,0.005081772,0.000806156,-0.000835339,0.001418089,0.013711612,-0.007890271,-0.020924549,-0.000250764,0.147028081,-0.046594496,0.007855789,-0.001858973,0.036971091,0.01912075,0.005159867,0.000961963,0.014253191,0.001656134,0.042403933,-0.000663485,0.014799576,-0.003489148
leverage,0.168946708,0.061096492,0.042386553,0.054576897,0.018994531,-0.000387847,0.040206754,0.021900849,-0.011224759,0.013227876,0.032188165,-0.005831152,-0.041311024,0.003835986,-0.001094806,0.138761998,0.005972162,0.000794225,-0.021549803,0.002004346,0.078493185,0.020687955,0.050086941,0.036988115,0.001045047,0.158150792,0.020145405,0.023483425,0.042664807,0.021683008,-0.000519248,0.003545726,0.035024118,0.02846394,-0.016512633,0.033542657,-0.004329296,0.026978133,-0.002242173,0.000371526,0.043643528,0.000924248,0.028868155,0.001496735,0.035852085,0.051164365,0.002989904,0.073935294
speculate,0.054471139,0.017007743,-0.009754205,-0.0107158,0.00828093,0.01725939,-0.028146242,-0.027382659,0.017673242,0.051795973,0.004235026,0.027996823,0.119540076,-0.003622144,0.094060386,-0.104182133,-0.007439312,-0.005011528,0.06877713,0.004073999,-0.116015419,0.002587983,-0.164424049,-0.007698183,-0.005142096,-0.105666344,0.00191627,0.00057323,-0.007421583,-0.002006567,-0.008779383,0.003642335,0.080469753,0.004720697,0.246223387,0.195803907,0.009655298,-0.005556067,0.016479495,-0.002133013,-0.009241559,0.002114243,-0.001323736,0.009365172,-0.014643734,-0.006670674,0.001655392,-0.005245694
tech,0.05861506,0.02373184,0.021991735,0.021200081,0.000251184,0.007868277,0.006606114,0.050222953,0.022302912,0.003938561,0.002890801,-0.008429275,0.028226149,3.04E-06,-0.014968051,-0.024090473,-0.000510508,-0.001095446,-0.000232041,-0.000105562,0.004193657,0.009553166,-0.008084922,0.026991718,0.000696586,0.052011645,0.012638744,0.005267371,0.016633164,0.009045354,-0.001537444,0.014672169,0.06106988,0.004603036,-0.023797782,-0.025508413,0.000163985,0.010770875,0.024648412,0.016231739,0.020009908,0.019769787,0.008386939,0.024836332,0.039344752,0.009623107,0.009258431,0.031560457
